Temp,Pressure,Enthalpy liquid,enthalpy vapour,Entropy liquid,Entropy Vapour,liq.density,vaporsp.vol
-43,60.91,5.943,1402.891,0.2297,6.2994,693.77,1808.755
-42,64.34,10.347,1404.525,0.2488,6.2803,692.57,1718.384
-41,67.94,14.756,1406.149,0.2678,6.2613,691.36,1633.346
-40,71.69,19.17,1407.763,0.2867,6.2425,690.15,1553.282
-39,75.61,23.59,1409.367,0.3056,6.224,688.94,1477.861
-38,79.71,28.015,1410.96,0.3245,6.2056,687.72,1406.775
-37,83.99,32.445,1412.542,0.3432,6.1874,686.49,1339.739
-36,88.45,36.88,1414.114,0.3619,6.1694,685.27,1276.489
-35,93.1,41.321,1415.675,0.3806,6.1516,684.04,1216.781
-34,97.95,45.767,1417.225,0.3992,6.1339,682.8,1160.388
-33,103,50.218,1418.764,0.4177,6.1165,681.57,1107.098
-32,108.26,54.675,1420.291,0.4362,6.0992,680.33,1056.717
-31,113.73,59.136,1421.807,0.4547,6.082,679.08,1009.061
-30,119.43,63.603,1423.311,0.473,6.0651,677.83,963.963
-29,125.35,68.075,1424.804,0.4914,6.0483,676.58,921.263
-28,131.51,72.551,1426.284,0.5096,6.0317,675.32,880.816
-27,137.92,77.033,1427.752,0.5278,6.0152,674.06,842.486
-26,144.57,81.521,1429.208,0.546,5.9989,672.8,806.144
-25,151.47,86.013,1430.652,0.5641,5.9827,671.53,771.672
-24,158.64,90.51,1432.082,0.5821,5.9667,670.26,738.959
-23,166.08,95.013,1433.501,0.6001,5.9508,668.98,707.901
-22,173.79,99.52,1434.906,0.618,5.9351,667.71,678.403
-21,181.79,104.033,1436.298,0.6359,5.9195,666.42,650.374
-20,190.08,108.55,1437.677,0.6538,5.9041,665.14,623.73
-19,198.67,113.073,1439.042,0.6715,5.8888,663.85,598.39
-18,207.56,117.601,1440.394,0.6893,5.8736,662.55,574.283
-17,216.77,122.134,1441.733,0.7069,5.8586,661.25,551.338
-16,226.31,126.672,1443.057,0.7246,5.8437,659.95,529.49
-15,236.17,131.216,1444.368,0.7421,5.8289,658.65,508.679
-14,246.37,135.764,1445.664,0.7597,5.8143,657.34,488.849
-13,256.91,140.318,1446.946,0.7771,5.7997,656.02,469.944
-12,267.82,144.876,1448.214,0.7946,5.7853,654.7,451.916
-11,279.08,149.441,1449.466,0.8119,5.771,653.38,434.717
-10,290.71,154.01,1450.705,0.8293,5.7569,652.06,418.303
-9,302.73,158.584,1451.928,0.8466,5.7428,650.73,402.632
-8,315.13,163.164,1453.136,0.8638,5.7289,649.39,387.666
-7,327.93,167.75,1454.329,0.881,5.715,648.06,373.367
-6,341.14,172.34,1455.506,0.8981,5.7013,646.71,359.701
-5,354.76,176.936,1456.668,0.9152,5.6877,645.37,346.635
-4,368.8,181.538,1457.814,0.9323,5.6741,644.02,334.139
-3,383.27,186.145,1458.944,0.9493,5.6607,642.66,322.184
-2,398.19,190.758,1460.058,0.9662,5.6474,641.3,310.742
-1,413.56,195.376,1461.156,0.9831,5.6342,639.94,299.788
0,429.38,200,1462.238,1,5.621,638.57,289.297
1,445.68,204.63,1463.303,1.0168,5.608,637.2,279.247
2,462.46,209.265,1464.351,1.0336,5.5951,635.82,269.616
3,479.72,213.907,1465.382,1.0503,5.5822,634.44,260.384
4,497.48,218.554,1466.396,1.067,5.5695,633.06,251.531
5,515.75,223.207,1467.393,1.0837,5.5568,631.66,243.039
6,534.53,227.867,1468.373,1.1003,5.5442,630.27,234.891
7,553.85,232.532,1469.335,1.1169,5.5317,628.87,227.071
8,573.7,237.204,1470.279,1.1334,5.5192,627.46,219.563
9,594.09,241.882,1471.206,1.1499,5.5069,626.05,212.352
10,615.05,246.566,1472.114,1.1664,5.4946,624.64,205.426
11,636.57,251.257,1473.004,1.1828,5.4824,623.22,198.77
12,658.66,255.954,1473.875,1.1992,5.4703,621.79,192.372
13,681.35,260.659,1474.728,1.2155,5.4583,620.36,186.221
14,704.63,265.369,1475.562,1.2318,5.4463,618.93,180.305
15,728.52,270.087,1476.376,1.2481,5.4344,617.49,174.614
16,753.03,274.812,1477.172,1.2643,5.4226,616.04,169.138
17,778.17,279.544,1477.948,1.2805,5.4108,614.59,163.867
18,803.95,284.283,1478.704,1.2967,5.3991,613.13,158.793
19,830.38,289.029,1479.441,1.3128,5.3874,611.67,153.906
20,857.48,293.783,1480.157,1.3289,5.3759,610.2,149.198
21,885.24,298.544,1480.853,1.3449,5.3643,608.72,144.662
22,913.69,303.313,1481.529,1.361,5.3529,607.24,140.29
23,942.83,308.089,1482.184,1.377,5.3415,605.76,136.076
24,972.68,312.874,1482.818,1.3929,5.3301,604.26,132.012
25,1003.24,317.667,1483.431,1.4089,5.3188,602.76,128.092
26,1034.53,322.468,1484.022,1.4248,5.3076,601.26,124.311
27,1066.56,327.277,1484.592,1.4406,5.2964,599.75,120.662
28,1099.34,332.095,1485.14,1.4565,5.2853,598.23,117.14
29,1132.88,336.921,1485.665,1.4723,5.2742,596.7,113.74
30,1167.2,341.757,1486.169,1.4881,5.2631,595.17,110.457
31,1202.3,346.601,1486.649,1.5038,5.2521,593.63,107.285
32,1238.19,351.455,1487.107,1.5196,5.2412,592.08,104.221
33,1274.89,356.318,1487.541,1.5353,5.2303,590.53,101.261
34,1312.42,361.19,1487.952,1.5509,5.2194,588.97,98.399
35,1350.77,366.073,1488.34,1.5666,5.2086,587.4,95.632
36,1389.97,370.965,1488.703,1.5822,5.1978,585.82,92.957
37,1430.02,375.867,1489.041,1.5979,5.187,584.24,90.37
38,1470.94,380.78,1489.355,1.6134,5.1763,582.65,87.867
39,1512.73,385.703,1489.645,1.629,5.1656,581.05,85.445
40,1555.42,390.637,1489.908,1.6446,5.1549,579.44,83.101
41,1599.01,395.581,1490.146,1.6601,5.1443,577.82,80.832
42,1643.52,400.538,1490.358,1.6756,5.1337,576.2,78.635
43,1688.96,405.505,1490.544,1.6911,5.1231,574.56,76.507
44,1735.33,410.484,1490.703,1.7065,5.1126,572.92,74.446
45,1782.66,415.475,1490.835,1.722,5.102,571.27,72.45
46,1830.95,420.479,1490.939,1.7374,5.0915,569.61,70.515
47,1880.23,425.494,1491.016,1.7528,5.081,567.94,68.64
48,1930.49,430.523,1491.064,1.7683,5.0706,566.25,66.822
49,1981.75,435.564,1491.083,1.7836,5.0601,564.56,65.06
50,2034.03,440.619,1491.074,1.799,5.0497,562.86,63.35
51,2087.34,445.687,1491.034,1.8144,5.0393,561.15,61.692
52,2141.69,450.77,1490.965,1.8297,5.0289,559.43,60.084
53,2197.1,455.866,1490.865,1.8451,5.0185,557.7,58.523
54,2253.58,460.977,1490.734,1.8604,5.0081,555.95,57.008
55,2311.13,466.103,1490.572,1.8758,4.9977,554.2,55.537
56,2369.78,471.244,1490.377,1.8911,4.9873,552.43,54.11
57,2429.54,476.401,1490.15,1.9064,4.977,550.65,52.723
58,2490.42,481.573,1489.889,1.9217,4.9666,548.86,51.377
59,2552.44,486.762,1489.595,1.937,4.9562,547.06,50.068
60,2615.6,491.968,1489.267,1.9523,4.9458,545.24,48.797
61,2679.93,497.191,1488.903,1.9676,4.9355,543.41,47.562
62,2745.43,502.431,1488.504,1.9829,4.9251,541.57,46.361
63,2812.12,507.69,1488.068,1.9982,4.9147,539.72,45.194
64,2880.01,512.967,1487.596,2.0135,4.9043,537.85,44.059
65,2949.13,518.262,1487.085,2.0288,4.8939,535.96,42.955
66,3019.48,523.577,1486.536,2.0441,4.8834,534.06,41.881
67,3091.07,528.912,1485.948,2.0594,4.873,532.15,40.837
68,3163.92,534.268,1485.32,2.0747,4.8625,530.22,39.82
69,3238.05,539.644,1484.651,2.0901,4.852,528.27,38.831
70,3313.47,545.042,1483.94,2.1054,4.8415,526.31,37.868
71,3390.2,550.462,1483.186,2.1208,4.831,524.33,36.931
72,3468.24,555.905,1482.389,2.1361,4.8204,522.33,36.018
73,3547.63,561.371,1481.547,2.1515,4.8098,520.32,35.129
74,3628.36,566.86,1480.659,2.1669,4.7992,518.28,34.263
75,3710.45,572.375,1479.724,2.1823,4.7885,516.23,33.419
76,3793.93,577.915,1478.742,2.1977,4.7778,514.16,32.596
77,3878.81,583.481,1477.71,2.2131,4.767,512.07,31.795
78,3965.09,589.073,1476.628,2.2286,4.7562,509.96,31.014
80,4141.97,600.342,1474.309,2.2596,4.7344,505.67,29.509
82,4324.69,611.729,1471.771,2.2908,4.7124,501.29,28.078
84,4513.39,623.24,1469.005,2.322,4.6901,496.82,26.715
86,4708.2,634.883,1465.995,2.3534,4.6675,492.24,25.417
88,4909.26,646.669,1462.727,2.385,4.6446,487.56,24.179
90,5116.72,658.605,1459.186,2.4168,4.6213,482.75,22.997
92,5330.72,670.705,1455.351,2.4488,4.5976,477.82,21.868
94,5551.41,682.98,1451.204,2.481,4.5734,472.76,20.79
96,5778.96,695.443,1446.719,2.5136,4.5487,467.55,19.757
98,6013.52,708.111,1441.872,2.5464,4.5234,462.18,18.768
100,6255.27,721.003,1436.632,2.5797,4.4975,456.63,17.82
102,6504.38,734.138,1430.963,2.6133,4.4708,450.9,16.91
104,6761.04,747.541,1424.825,2.6474,4.4432,444.95,16.035
106,7025.45,761.241,1418.171,2.6821,4.4147,438.78,15.192
108,7297.81,775.275,1410.944,2.7173,4.3851,432.34,14.38
110,7578.34,789.683,1403.076,2.7533,4.3542,425.61,13.596
112,7867.28,804.52,1394.482,2.7902,4.3219,418.54,12.837
114,8164.87,819.855,1385.058,2.828,4.2879,411.08,12.1
116,8471.4,835.777,1374.67,2.8671,4.2519,403.15,11.383
118,8787.16,852.409,1363.141,2.9077,4.2134,394.67,10.682
120,9112.49,869.923,1350.23,2.9502,4.1719,385.49,9.993
122,9447.75,888.578,1335.588,2.9953,4.1266,375.4,9.311
124,9793.37,908.788,1318.682,3.044,4.0761,364.08,8.628
126,10149.84,931.287,1298.614,3.098,4.0183,350.95,7.933
128,10517.73,957.605,1273.634,3.1611,3.9489,334.79,7.202
130,10897.68,992.018,1239.317,3.2437,3.8571,312.29,6.379
